score	npeaks	lpeaks	avelpeak
788.87	1	743	743.00
780.48	2	1491	745.50
772.09	2	1495	747.50
763.70	2	1565	782.50
755.30	2	1566	783.00
746.91	2	1684	842.00
738.52	2	1706	853.00
730.13	2	1722	861.00
721.74	3	2095	698.33
713.34	4	2412	603.00
704.95	4	2436	609.00
696.56	4	2453	613.25
688.17	4	3488	872.00
679.78	4	3575	893.75
671.38	4	3838	959.50
662.99	4	3952	988.00
654.60	4	3952	988.00
646.21	4	3984	996.00
637.81	4	4020	1005.00
629.42	4	4041	1010.25
621.03	4	4118	1029.50
612.64	4	4227	1056.75
604.24	4	4325	1081.25
595.85	4	4521	1130.25
587.46	4	4691	1172.75
579.07	4	4700	1175.00
570.67	4	4863	1215.75
562.28	4	4874	1218.50
553.89	4	4892	1223.00
545.50	4	4923	1230.75
537.11	4	4965	1241.25
528.71	4	4981	1245.25
520.32	4	5100	1275.00
511.93	4	5184	1296.00
503.54	4	5193	1298.25
495.14	4	5924	1481.00
486.75	3	6983	2327.67
478.36	2	9700	4850.00
469.97	2	9968	4984.00
461.58	2	9972	4986.00
453.18	2	11272	5636.00
444.79	2	11272	5636.00
436.40	2	11280	5640.00
428.01	2	11326	5663.00
419.61	2	11331	5665.50
411.22	2	12541	6270.50
402.83	2	12860	6430.00
394.44	2	12863	6431.50
386.05	2	12907	6453.50
377.65	2	12918	6459.00
369.26	2	12923	6461.50
360.87	2	12928	6464.00
352.48	2	12976	6488.00
344.08	2	13035	6517.50
335.69	2	13084	6542.00
327.30	2	13085	6542.50
318.91	2	13120	6560.00
310.51	2	13136	6568.00
302.12	2	13150	6575.00
293.73	2	13158	6579.00
285.34	2	13168	6584.00
276.95	2	13238	6619.00
268.55	2	13279	6639.50
260.16	2	13337	6668.50
251.77	2	13365	6682.50
243.38	2	13378	6689.00
234.98	3	13581	4527.00
226.59	3	13597	4532.33
218.20	3	13662	4554.00
209.81	3	13686	4562.00
201.41	3	13723	4574.33
193.02	3	13813	4604.33
184.63	3	13829	4609.67
176.24	3	13880	4626.67
167.85	3	14449	4816.33
159.45	3	14501	4833.67
151.06	3	14563	4854.33
142.67	3	15659	5219.67
134.28	3	15672	5224.00
125.88	3	15736	5245.33
117.49	3	15818	5272.67
109.10	3	15929	5309.67
100.71	2	17023	8511.50
92.32	2	17049	8524.50
83.92	2	17107	8553.50
75.53	2	17121	8560.50
67.14	2	17140	8570.00
58.75	2	17797	8898.50
50.35	2	17860	8930.00
41.96	2	17895	8947.50
33.57	3	18119	6039.67
25.18	26	24094	926.69
16.78	62	44717	721.24
8.39	187	112677	602.55
0.00	5	3150161	630032.20
