score	npeaks	lpeaks	avelpeak
385.02	1	738	738.00
380.96	2	1541	770.50
376.91	2	1748	874.00
372.86	2	1888	944.00
368.80	3	2106	702.00
364.75	3	2172	724.00
360.70	3	2175	725.00
356.65	3	2194	731.33
352.59	3	2200	733.33
348.54	3	2791	930.33
344.49	3	2975	991.67
340.43	3	3564	1188.00
336.38	3	3671	1223.67
332.33	3	3833	1277.67
328.28	3	3888	1296.00
324.22	3	3929	1309.67
320.17	3	4045	1348.33
316.12	4	4317	1079.25
312.07	5	4546	909.20
308.01	5	4958	991.60
303.96	5	4971	994.20
299.91	5	4988	997.60
295.85	5	5119	1023.80
291.80	5	5385	1077.00
287.75	5	6312	1262.40
283.70	5	6406	1281.20
279.64	5	7429	1485.80
275.59	5	7513	1502.60
271.54	5	7808	1561.60
267.48	5	8138	1627.60
263.43	5	8292	1658.40
259.38	5	9340	1868.00
255.33	3	12400	4133.33
251.27	2	13447	6723.50
247.22	2	13468	6734.00
243.17	2	13468	6734.00
239.12	2	13470	6735.00
235.06	2	13472	6736.00
231.01	2	13473	6736.50
226.96	2	13562	6781.00
222.90	2	13606	6803.00
218.85	2	13692	6846.00
214.80	2	13812	6906.00
210.75	2	13819	6909.50
206.69	2	14188	7094.00
202.64	2	14197	7098.50
198.59	2	14390	7195.00
194.53	2	14577	7288.50
190.48	2	14689	7344.50
186.43	2	14853	7426.50
182.38	2	14921	7460.50
178.32	2	14922	7461.00
174.27	2	15074	7537.00
170.22	1	16236	16236.00
166.16	1	16339	16339.00
162.11	1	16372	16372.00
158.06	1	16395	16395.00
154.01	2	16547	8273.50
149.95	2	16594	8297.00
145.90	2	16605	8302.50
141.85	2	16616	8308.00
137.79	2	16619	8309.50
133.74	2	16659	8329.50
129.69	2	16707	8353.50
125.64	2	16727	8363.50
121.58	2	16772	8386.00
117.53	2	16783	8391.50
113.48	2	16802	8401.00
109.43	2	16895	8447.50
105.37	2	16926	8463.00
101.32	2	17637	8818.50
97.27	2	17694	8847.00
93.21	2	17702	8851.00
89.16	2	17712	8856.00
85.11	2	17720	8860.00
81.06	2	17754	8877.00
77.00	2	17765	8882.50
72.95	2	17778	8889.00
68.90	2	17787	8893.50
64.85	2	17802	8901.00
60.79	2	17820	8910.00
56.74	2	17836	8918.00
52.69	2	17850	8925.00
48.63	2	17867	8933.50
44.58	2	17885	8942.50
40.53	2	17896	8948.00
36.47	2	17916	8958.00
32.42	2	17928	8964.00
28.37	2	17945	8972.50
24.32	3	18183	6061.00
20.26	3	18271	6090.33
16.21	15	22565	1504.33
12.16	59	43085	730.25
8.11	170	97763	575.08
4.05	503	295072	586.62
0.00	6	3759615	626602.50
