score	npeaks	lpeaks	avelpeak
906.54	2	1486	743.00
896.80	2	1486	743.00
887.05	2	1493	746.50
877.30	2	1496	748.00
867.55	2	1497	748.50
857.81	2	1505	752.50
848.06	2	1511	755.50
838.31	2	1591	795.50
828.56	2	1680	840.00
818.82	2	1690	845.00
809.07	2	1690	845.00
799.32	2	1716	858.00
789.57	2	1718	859.00
779.82	2	1738	869.00
770.08	2	1914	957.00
760.33	2	1919	959.50
750.58	2	2036	1018.00
740.83	2	2552	1276.00
731.09	2	3068	1534.00
721.34	2	3068	1534.00
711.59	2	3368	1684.00
701.84	2	3438	1719.00
692.09	2	3438	1719.00
682.35	3	3671	1223.67
672.60	4	3938	984.50
662.85	4	3941	985.25
653.10	4	3979	994.75
643.35	4	4071	1017.75
633.61	4	4296	1074.00
623.86	4	4304	1076.00
614.11	4	4330	1082.50
604.36	4	4382	1095.50
594.62	4	4433	1108.25
584.87	4	4455	1113.75
575.12	4	4627	1156.75
565.37	4	4667	1166.75
555.62	4	5456	1364.00
545.88	4	5545	1386.25
536.13	4	5563	1390.75
526.38	4	5638	1409.50
516.63	4	5679	1419.75
506.89	4	5683	1420.75
497.14	4	5692	1423.00
487.39	4	5753	1438.25
477.64	4	6494	1623.50
467.89	4	7150	1787.50
458.15	4	7238	1809.50
448.40	4	7351	1837.75
438.65	3	9223	3074.33
428.90	2	11064	5532.00
419.15	2	11901	5950.50
409.41	2	12743	6371.50
399.66	2	12808	6404.00
389.91	2	12866	6433.00
380.16	2	12908	6454.00
370.42	2	12918	6459.00
360.67	2	12925	6462.50
350.92	2	12930	6465.00
341.17	2	12981	6490.50
331.42	2	12992	6496.00
321.68	2	13085	6542.50
311.93	2	13086	6543.00
302.18	2	13113	6556.50
292.43	2	13151	6575.50
282.69	2	13190	6595.00
272.94	2	13210	6605.00
263.19	2	13284	6642.00
253.44	3	13481	4493.67
243.70	3	13545	4515.00
233.95	3	13566	4522.00
224.20	3	13667	4555.67
214.45	3	13702	4567.33
204.70	3	13713	4571.00
194.96	3	13736	4578.67
185.21	3	13818	4606.00
175.46	3	13865	4621.67
165.71	3	13892	4630.67
155.96	3	13927	4642.33
146.22	3	14490	4830.00
136.47	3	14550	4850.00
126.72	3	14617	4872.33
116.97	3	14879	4959.67
107.23	3	14938	4979.33
97.48	2	16955	8477.50
87.73	2	17044	8522.00
77.98	2	17643	8821.50
68.24	2	17737	8868.50
58.49	3	17940	5980.00
48.74	3	18014	6004.67
38.99	3	18093	6031.00
29.24	3	18231	6077.00
19.50	16	22672	1417.00
9.75	117	66386	567.40
0.00	8	3923569	490446.12
