score	npeaks	lpeaks	avelpeak
550.36	1	802	802.00
544.69	1	807	807.00
539.02	2	1613	806.50
533.34	2	1620	810.00
527.67	2	1620	810.00
521.99	2	1754	877.00
516.32	2	1855	927.50
510.64	2	1959	979.50
504.97	2	2028	1014.00
499.30	2	2628	1314.00
493.62	2	3226	1613.00
487.95	2	3226	1613.00
482.28	2	3230	1615.00
476.60	4	3722	930.50
470.93	4	3878	969.50
465.26	4	3915	978.75
459.58	4	4058	1014.50
453.91	4	4162	1040.50
448.23	4	4368	1092.00
442.56	4	4445	1111.25
436.89	4	4525	1131.25
431.21	4	4579	1144.75
425.54	4	4580	1145.00
419.86	4	4629	1157.25
414.19	4	4739	1184.75
408.52	4	4926	1231.50
402.84	4	4974	1243.50
397.17	4	5030	1257.50
391.49	4	6041	1510.25
385.82	4	7050	1762.50
380.15	4	7178	1794.50
374.47	4	7367	1841.75
368.80	4	7445	1861.25
363.13	4	7583	1895.75
357.45	4	7793	1948.25
351.78	4	8401	2100.25
346.10	4	9389	2347.25
340.43	2	12734	6367.00
334.76	2	12734	6367.00
329.08	2	12740	6370.00
323.41	2	12790	6395.00
317.73	2	12832	6416.00
312.06	2	12854	6427.00
306.39	2	12864	6432.00
300.71	2	12978	6489.00
295.04	2	13036	6518.00
289.37	2	13083	6541.50
283.69	2	13118	6559.00
278.02	2	13123	6561.50
272.34	2	13126	6563.00
266.67	2	13215	6607.50
261.00	2	13218	6609.00
255.32	2	13302	6651.00
249.65	2	13307	6653.50
243.98	2	13946	6973.00
238.30	2	13976	6988.00
232.63	2	14059	7029.50
226.95	2	14069	7034.50
221.28	2	14087	7043.50
215.61	2	14087	7043.50
209.93	2	14097	7048.50
204.26	2	14100	7050.00
198.58	2	14151	7075.50
192.91	3	14314	4771.33
187.24	3	15392	5130.67
181.56	3	15501	5167.00
175.89	3	15630	5210.00
170.21	3	15638	5212.67
164.54	3	15665	5221.67
158.87	3	15732	5244.00
153.19	3	15821	5273.67
147.52	2	16843	8421.50
141.85	2	16865	8432.50
136.17	2	16903	8451.50
130.50	2	16916	8458.00
124.82	2	16925	8462.50
119.15	2	16931	8465.50
113.48	2	16985	8492.50
107.80	2	17056	8528.00
102.13	2	17071	8535.50
96.46	2	17081	8540.50
90.78	2	17102	8551.00
85.11	2	17112	8556.00
79.43	2	17127	8563.50
73.76	2	17766	8883.00
68.09	2	17783	8891.50
62.41	2	17810	8905.00
56.74	2	17835	8917.50
51.06	2	17860	8930.00
45.39	3	18031	6010.33
39.72	3	18096	6032.00
34.04	3	18232	6077.33
28.37	3	18281	6093.67
22.69	9	19755	2195.00
17.02	47	33131	704.91
11.35	149	77587	520.72
5.67	446	234830	526.52
0.00	5	1892401	378480.20
