seqnames	start	end	width	strand	Conc	Conc_NQ	Conc_WT	Fold	p.value	FDR
I	229765	230165	401	*	9.639988823345456	9.9529236089472235	8.297792269761585	1.4870156337782072	7.45145331245359e-14	6.572181821584065e-11
VIII	556339	556739	401	*	9.442722363465746	9.722353857960005	8.338918372698911	1.2134372280923695	1.9190912622867667e-11	8.463192466684642e-9
II	554739	555139	401	*	8.715379189163597	7.907142792447942	9.76661286214841	-1.5575808749069542	8.24769910624008e-11	2.4248235372345835e-8
III	295317	295717	401	*	8.029462815575558	8.302067898956707	6.970665833747049	1.132141557733543	2.5344270010202145e-10	5.588411537249573e-8
VI	269830	270230	401	*	8.173423390415593	8.471362695940751	6.944149737439379	1.3161609842122404	4.470288484481046e-10	7.885588886624565e-8
XII	677706	678106	401	*	8.122322239774645	7.601223237292537	8.93617360567773	-1.0347121379502306	1.1894051309534288e-7	1.74842554250154e-5
III	315995	316395	401	*	9.306111633804106	9.561554826154921	8.350838747250048	0.932883113225823	3.456770589472856e-7	4.275005957563111e-5
II	381281	381681	401	*	9.317571716601904	8.945106210802207	9.967276231536921	-0.8053029485127178	3.877556424093525e-7	4.275005957563111e-5
VI	4826	5226	401	*	10.020644365526513	10.21268176850613	9.38591213004473	0.6767969288763125	8.082747037773951e-7	7.921092097018471e-5
IV	1525031	1525431	401	*	9.531614502813218	9.745133032312868	8.79757565559931	0.7487594638849807	1.0244939635622453e-6	9.036036758619004e-5
XIV	783684	784084	401	*	9.430609476049097	9.659351054439279	8.620830093804114	0.7856926588574453	2.5042524363318016e-6	2.0079551353133175e-4
II	375899	376299	401	*	8.773824519911194	8.475089512957199	9.327271255487029	-0.6627586124365504	5.4157257308157525e-6	3.980558412149578e-4
VII	271772	272172	401	*	10.397984074862363	10.170495218108845	10.846567192582992	-0.5586758849406989	8.290519109426425e-6	5.624798349626235e-4
IX	439492	439892	401	*	9.876309728145493	10.085328783513617	9.16377035748738	0.6933793099793966	1.0471247398131133e-5	6.596885860822614e-4
IV	635945	636345	401	*	10.631262815514987	10.379622314644084	11.116842230047798	-0.5893364973744739	1.329123858435851e-5	7.330274143397063e-4
X	745319	745719	401	*	9.52088622026347	9.740718009244402	8.756014071021118	0.7193847614022707	1.3297549466479933e-5	7.330274143397063e-4
XII	1064715	1065115	401	*	9.825108465101163	10.007367878233731	9.232953408657854	0.6107400933433693	1.4223010742058794e-5	7.379232632056386e-4
XIII	347069	347469	401	*	8.662078840618204	8.345833821933992	9.23942891390503	-0.670334916151352	1.6425565577580608e-5	8.048527133014498e-4
VII	677666	678066	401	*	7.8199643503845	8.026987282562423	7.116840097972924	0.676846909201989	2.2177555520629593e-5	0.001018750346647828
XI	-8	392	401	*	9.677646916743797	9.856301219911053	9.100807345144165	0.5935165299021721	2.310091488997342e-5	0.001018750346647828
IV	1459640	1460040	401	*	9.271106493583856	8.859527979424767	9.96754474255127	-0.7536422026659432	2.557219004367672e-5	0.0010740319818344222
XVI	526929	527329	401	*	8.292249050831137	8.092287048564172	8.696679481679933	-0.5074137093289541	2.7124831467842355e-5	0.001087459152483498
XV	109513	109913	401	*	10.584447033447617	10.337466181969278	11.063009873356258	-0.5718397348172741	2.8712457174329954e-5	0.0011010603142503923
XIII	408227	408627	401	*	10.210757418808894	10.024234460498707	10.592813220586459	-0.4792925398192463	3.308378434318749e-5	0.0012158290746121401
XIII	922022	922422	401	*	5.678044731865585	6.005093594040176	4.219612201373123	0.9288004174163768	4.3302418060843864e-5	0.0015277093091865717
XVI	114530	114930	401	*	10.393277665104499	10.189265383028161	10.804343634373328	-0.5050110062776584	4.962456750459696e-5	0.0016626882468539362
XV	25	425	401	*	9.833646546130591	10.030890286975273	9.175598888689217	0.6270600120964015	5.089861980165111e-5	0.0016626882468539362
VII	156140	156540	401	*	8.129372760949181	7.817463178115543	8.700868095954656	-0.6322959512612694	5.91644360461946e-5	0.00186367973545513
