score	npeaks	lpeaks	avelpeak
382.11	1	159	159.00
377.33	1	159	159.00
372.56	1	160	160.00
367.78	1	163	163.00
363.01	1	322	322.00
358.23	1	325	325.00
353.45	1	447	447.00
348.68	1	448	448.00
343.90	3	1598	532.67
339.12	3	2397	799.00
334.35	3	2496	832.00
329.57	3	2507	835.67
324.79	5	2921	584.20
320.02	5	3790	758.00
315.24	5	3952	790.40
310.46	5	4651	930.20
305.69	5	4896	979.20
300.91	5	5005	1001.00
296.14	5	5144	1028.80
291.36	5	5154	1030.80
286.58	5	5257	1051.40
281.81	4	6471	1617.75
277.03	4	7763	1940.75
272.25	4	7839	1959.75
267.48	4	8816	2204.00
262.70	4	8856	2214.00
257.92	4	9083	2270.75
253.15	4	9387	2346.75
248.37	4	9499	2374.75
243.60	3	10953	3651.00
238.82	3	11413	3804.33
234.04	2	12490	6245.00
229.27	2	12493	6246.50
224.49	2	13236	6618.00
219.71	2	13995	6997.50
214.94	2	14035	7017.50
210.16	2	14126	7063.00
205.38	2	14158	7079.00
200.61	2	14163	7081.50
195.83	2	14171	7085.50
191.05	2	14232	7116.00
186.28	2	14290	7145.00
181.50	2	14339	7169.50
176.73	2	14343	7171.50
171.95	2	14441	7220.50
167.17	2	14447	7223.50
162.40	2	14502	7251.00
157.62	2	14534	7267.00
152.84	3	15154	5051.33
148.07	3	15255	5085.00
143.29	3	15279	5093.00
138.51	3	15309	5103.00
133.74	3	15351	5117.00
128.96	3	15444	5148.00
124.19	2	16532	8266.00
119.41	2	16564	8282.00
114.63	2	16851	8425.50
109.86	2	16864	8432.00
105.08	2	16896	8448.00
100.30	2	16920	8460.00
95.53	2	16958	8479.00
90.75	2	16991	8495.50
85.97	2	17082	8541.00
81.20	2	17728	8864.00
76.42	2	17751	8875.50
71.65	2	17771	8885.50
66.87	2	17784	8892.00
62.09	2	17807	8903.50
57.32	2	17829	8914.50
52.54	2	17848	8924.00
47.76	2	17863	8931.50
42.99	2	17880	8940.00
38.21	2	17907	8953.50
33.44	2	17929	8964.50
28.66	3	18149	6049.67
23.88	3	18256	6085.33
19.11	7	19044	2720.57
14.33	51	38813	761.04
9.55	148	83087	561.40
4.78	428	244045	570.20
0.00	8	4516725	564590.62
