score	npeaks	lpeaks	avelpeak
452.26	1	170	170.00
446.82	1	171	171.00
441.37	1	209	209.00
435.92	3	1706	568.67
430.47	3	2109	703.00
425.02	3	2143	714.33
419.57	3	2155	718.33
414.12	3	2228	742.67
408.67	3	2464	821.33
403.22	3	2536	845.33
397.77	3	2642	880.67
392.33	3	3272	1090.67
386.88	4	4611	1152.75
381.43	5	4831	966.20
375.98	5	4992	998.40
370.53	5	5039	1007.80
365.08	5	5120	1024.00
359.63	5	5170	1034.00
354.18	5	6240	1248.00
348.73	5	7414	1482.80
343.28	5	7546	1509.20
337.83	5	7685	1537.00
332.39	5	7730	1546.00
326.94	4	8758	2189.50
321.49	4	8791	2197.75
316.04	4	8840	2210.00
310.59	4	8880	2220.00
305.14	4	9067	2266.75
299.69	4	9171	2292.75
294.24	4	9192	2298.00
288.80	4	10039	2509.75
283.35	4	11744	2936.00
277.90	4	11834	2958.50
272.45	4	11842	2960.50
267.00	4	11940	2985.00
261.55	3	12958	4319.33
256.10	2	14084	7042.00
250.65	2	14110	7055.00
245.20	2	14140	7070.00
239.75	2	14170	7085.00
234.30	2	14172	7086.00
228.86	2	14224	7112.00
223.41	2	14225	7112.50
217.96	2	14282	7141.00
212.51	2	14324	7162.00
207.06	2	14338	7169.00
201.61	2	14346	7173.00
196.16	2	14408	7204.00
190.71	2	14429	7214.50
185.26	2	14518	7259.00
179.82	2	14607	7303.50
174.37	2	14625	7312.50
168.92	2	15230	7615.00
163.47	1	16485	16485.00
158.02	1	16488	16488.00
152.57	2	16676	8338.00
147.12	2	16684	8342.00
141.67	2	16716	8358.00
136.22	2	16731	8365.50
130.77	2	16844	8422.00
125.33	2	16866	8433.00
119.88	2	17498	8749.00
114.43	2	17548	8774.00
108.98	2	17562	8781.00
103.53	2	17607	8803.50
98.08	2	17690	8845.00
92.63	2	17702	8851.00
87.18	2	17713	8856.50
81.73	2	17768	8884.00
76.29	2	17782	8891.00
70.84	2	17811	8905.50
65.39	2	17839	8919.50
59.94	2	17851	8925.50
54.49	2	17874	8937.00
49.04	2	17885	8942.50
43.59	2	17906	8953.00
38.14	2	17927	8963.50
32.69	2	17944	8972.00
27.25	2	17959	8979.50
21.80	3	18139	6046.33
16.35	8	20132	2516.50
10.90	59	41657	706.05
5.45	227	131223	578.07
0.00	9	6107009	678556.56
