score	npeaks	lpeaks	avelpeak
601.39	2	1484	742.00
594.85	2	1486	743.00
588.31	2	1490	745.00
581.78	2	1496	748.00
575.24	2	1497	748.50
568.70	2	1623	811.50
562.16	2	1686	843.00
555.63	2	1690	845.00
549.09	2	1690	845.00
542.55	2	1696	848.00
536.02	2	1871	935.50
529.48	2	2667	1333.50
522.94	4	2993	748.25
516.41	4	3540	885.00
509.87	4	3706	926.50
503.33	4	3881	970.25
496.80	4	3942	985.50
490.26	4	3943	985.75
483.72	4	4020	1005.00
477.19	4	4098	1024.50
470.65	4	4201	1050.25
464.11	4	4500	1125.00
457.58	4	4550	1137.50
451.04	4	4682	1170.50
444.50	4	4814	1203.50
437.96	4	4826	1206.50
431.43	4	4831	1207.75
424.89	4	4847	1211.75
418.36	4	4897	1224.25
411.82	4	4968	1242.00
405.28	4	4976	1244.00
398.74	4	5031	1257.75
392.21	4	5062	1265.50
385.67	4	5314	1328.50
379.13	4	5584	1396.00
372.60	4	6721	1680.25
366.06	4	7582	1895.50
359.52	4	7600	1900.00
352.99	4	9378	2344.50
346.45	4	9453	2363.25
339.91	4	10602	2650.50
333.38	2	12686	6343.00
326.84	2	12740	6370.00
320.30	2	12740	6370.00
313.77	2	12741	6370.50
307.23	2	12743	6371.50
300.69	2	12847	6423.50
294.16	2	12895	6447.50
287.62	2	12917	6458.50
281.08	2	12925	6462.50
274.55	2	12954	6477.00
268.01	2	13035	6517.50
261.47	2	13126	6563.00
254.93	2	13153	6576.50
248.40	2	13192	6596.00
241.86	2	13199	6599.50
235.32	2	13293	6646.50
228.79	2	13299	6649.50
222.25	2	13308	6654.00
215.71	2	13919	6959.50
209.18	2	14019	7009.50
202.64	2	14087	7043.50
196.10	2	14087	7043.50
189.57	3	14236	4745.33
183.03	3	14873	4957.67
176.49	3	15508	5169.33
169.96	3	15597	5199.00
163.42	3	15695	5231.67
156.88	3	15714	5238.00
150.35	3	15801	5267.00
143.81	2	16874	8437.00
137.27	2	16916	8458.00
130.74	2	16936	8468.00
124.20	2	16938	8469.00
117.66	2	16953	8476.50
111.13	2	16969	8484.50
104.59	2	17598	8799.00
98.05	2	17646	8823.00
91.51	2	17733	8866.50
84.98	2	17752	8876.00
78.44	2	17784	8892.00
71.90	2	17801	8900.50
65.37	2	17847	8923.50
58.83	2	17862	8931.00
52.29	2	17885	8942.50
45.76	2	17903	8951.50
39.22	3	18102	6034.00
32.68	3	18125	6041.67
26.15	4	18914	4728.50
19.61	6	19519	3253.17
13.07	50	35047	700.94
6.54	243	123082	506.51
0.00	5	1892492	378498.40
