score	npeaks	lpeaks	avelpeak
412.27	1	743	743.00
407.79	1	743	743.00
403.31	2	1490	745.00
398.83	2	1552	776.00
394.34	2	2223	1111.50
389.86	2	2896	1448.00
385.38	2	2896	1448.00
380.90	3	3453	1151.00
376.42	3	3455	1151.67
371.94	4	3663	915.75
367.46	4	3772	943.00
362.98	4	3858	964.50
358.49	4	3858	964.50
354.01	4	3860	965.00
349.53	4	4048	1012.00
345.05	4	4236	1059.00
340.57	4	4253	1063.25
336.09	4	4257	1064.25
331.61	4	4485	1121.25
327.13	4	4607	1151.75
322.64	4	4649	1162.25
318.16	4	4933	1233.25
313.68	4	5858	1464.50
309.20	4	6699	1674.75
304.72	4	6766	1691.50
300.24	4	6994	1748.50
295.76	4	7655	1913.75
291.28	4	9611	2402.75
286.80	4	9682	2420.50
282.31	4	11264	2816.00
277.83	4	11457	2864.25
273.35	4	11502	2875.50
268.87	4	11601	2900.25
264.39	3	12704	4234.67
259.91	2	13791	6895.50
255.43	2	13804	6902.00
250.95	2	13813	6906.50
246.46	2	13833	6916.50
241.98	2	13835	6917.50
237.50	2	13840	6920.00
233.02	2	13843	6921.50
228.54	2	13869	6934.50
224.06	2	13895	6947.50
219.58	2	13989	6994.50
215.10	2	14075	7037.50
210.62	2	14091	7045.50
206.13	2	14174	7087.00
201.65	2	14189	7094.50
197.17	2	14190	7095.00
192.69	2	14275	7137.50
188.21	2	14309	7154.50
183.73	2	14328	7164.00
179.25	2	14563	7281.50
174.77	2	14738	7369.00
170.29	2	14742	7371.00
165.80	3	14920	4973.33
161.32	3	15190	5063.33
156.84	3	15254	5084.67
152.36	3	15264	5088.00
147.88	3	15292	5097.33
143.40	3	15307	5102.33
138.92	2	16422	8211.00
134.43	2	16504	8252.00
129.95	2	16518	8259.00
125.47	2	16546	8273.00
120.99	2	16589	8294.50
116.51	2	16611	8305.50
112.03	2	16696	8348.00
107.55	2	17633	8816.50
103.07	2	17643	8821.50
98.59	2	17666	8833.00
94.11	2	17714	8857.00
89.62	2	17721	8860.50
85.14	2	17739	8869.50
80.66	2	17768	8884.00
76.18	2	17791	8895.50
71.70	2	17832	8916.00
67.22	2	17842	8921.00
62.74	2	17851	8925.50
58.26	2	17868	8934.00
53.77	2	17880	8940.00
49.29	2	17897	8948.50
44.81	2	17918	8959.00
40.33	2	17928	8964.00
35.85	2	17946	8973.00
31.37	2	17949	8974.50
26.89	3	18133	6044.33
22.41	3	18686	6228.67
17.92	4	18974	4743.50
13.44	10	20687	2068.70
8.96	95	53657	564.81
4.48	422	198782	471.05
0.00	4	2298014	574503.50
