score	npeaks	lpeaks	avelpeak
934.54	1	738	738.00
925.10	2	1477	738.50
915.66	2	1485	742.50
906.22	2	1491	745.50
896.78	2	1493	746.50
887.34	2	1498	749.00
877.90	2	1498	749.00
868.46	2	1614	807.00
859.02	2	1618	809.00
849.58	2	1622	811.00
840.14	2	1656	828.00
830.70	2	1662	831.00
821.26	3	1861	620.33
811.82	4	2044	511.00
802.38	4	2050	512.50
792.94	4	2060	515.00
783.50	4	2115	528.75
774.06	4	2938	734.50
764.62	4	3454	863.50
755.18	4	3475	868.75
745.74	4	3495	873.75
736.30	4	3558	889.50
726.86	4	3881	970.25
717.42	4	3952	988.00
707.98	4	3970	992.50
698.54	4	4102	1025.50
689.10	4	4136	1034.00
679.66	4	4160	1040.00
670.22	4	4422	1105.50
660.78	4	4612	1153.00
651.34	4	4640	1160.00
641.90	4	4642	1160.50
632.46	4	4870	1217.50
623.02	4	4875	1218.75
613.58	4	4889	1222.25
604.14	4	4954	1238.50
594.71	4	4968	1242.00
585.27	4	5359	1339.75
575.83	4	5415	1353.75
566.39	4	5435	1358.75
556.95	4	5700	1425.00
547.51	4	5732	1433.00
538.07	3	6873	2291.00
528.63	2	7990	3995.00
519.19	2	8022	4011.00
509.75	2	8028	4014.00
500.31	2	8069	4034.50
490.87	2	8069	4034.50
481.43	2	10360	5180.00
471.99	2	11272	5636.00
462.55	2	11272	5636.00
453.11	2	11326	5663.00
443.67	2	11326	5663.00
434.23	2	11328	5664.00
424.79	2	11402	5701.00
415.35	2	12087	6043.50
405.91	2	12704	6352.00
396.47	2	12909	6454.50
387.03	2	12917	6458.50
377.59	2	12926	6463.00
368.15	2	12953	6476.50
358.71	2	13030	6515.00
349.27	2	13083	6541.50
339.83	2	13084	6542.00
330.39	2	13102	6551.00
320.95	2	13123	6561.50
311.51	2	13136	6568.00
302.07	2	13145	6572.50
292.63	2	13160	6580.00
283.19	2	13219	6609.50
273.75	2	13241	6620.50
264.31	2	13280	6640.00
254.87	3	13515	4505.00
245.43	3	13544	4514.67
235.99	3	13638	4546.00
226.55	3	13649	4549.67
217.11	3	13674	4558.00
207.68	3	13715	4571.67
198.24	3	13762	4587.33
188.79	3	13793	4597.67
179.35	3	13815	4605.00
169.92	3	13894	4631.33
160.48	3	13913	4637.67
151.04	3	13928	4642.67
141.60	3	14017	4672.33
132.16	3	14065	4688.33
122.72	3	14221	4740.33
113.28	3	14285	4761.67
103.84	3	15394	5131.33
94.40	3	15751	5250.33
84.96	3	15897	5299.00
75.52	3	16067	5355.67
66.08	2	17132	8566.00
56.64	2	17155	8577.50
47.20	2	17819	8909.50
37.76	4	18276	4569.00
28.32	10	21250	2125.00
18.88	46	37936	824.70
9.44	182	101263	556.39
0.00	100	11092114	110921.14
