score	npeaks	lpeaks	avelpeak
778.94	1	741	741.00
770.66	2	1486	743.00
762.37	2	1493	746.50
754.08	2	1497	748.50
745.80	2	1532	766.00
737.51	2	1566	783.00
729.22	2	1682	841.00
720.94	2	1686	843.00
712.65	2	1708	854.00
704.36	2	1722	861.00
696.08	2	1726	863.00
687.79	2	1782	891.00
679.50	2	2036	1018.00
671.22	2	2036	1018.00
662.93	2	2036	1018.00
654.64	4	3468	867.00
646.36	4	3532	883.00
638.07	4	3711	927.75
629.78	4	3825	956.25
621.50	4	3858	964.50
613.21	4	3902	975.50
604.92	4	3951	987.75
596.64	4	3960	990.00
588.35	4	4078	1019.50
580.06	4	4143	1035.75
571.78	4	4377	1094.25
563.49	4	4470	1117.50
555.20	4	4490	1122.50
546.92	4	4568	1142.00
538.63	4	4598	1149.50
530.34	4	4618	1154.50
522.06	4	4706	1176.50
513.77	4	4896	1224.00
505.48	4	4935	1233.75
497.20	4	5008	1252.00
488.91	4	5144	1286.00
480.62	4	5222	1305.50
472.34	4	5241	1310.25
464.05	4	5327	1331.75
455.77	4	5608	1402.00
447.48	4	5614	1403.50
439.19	4	5892	1473.00
430.90	4	6088	1522.00
422.62	4	6176	1544.00
414.33	2	8198	4099.00
406.05	2	9998	4999.00
397.76	2	10136	5068.00
389.47	2	10136	5068.00
381.18	2	11445	5722.50
372.90	2	12680	6340.00
364.61	2	12683	6341.50
356.33	2	12740	6370.00
348.04	2	12742	6371.00
339.75	2	12788	6394.00
331.46	2	12864	6432.00
323.18	2	12868	6434.00
314.89	2	12903	6451.50
306.61	2	12919	6459.50
298.32	2	12924	6462.00
290.03	2	12930	6465.00
281.74	2	12979	6489.50
273.46	2	12992	6496.00
265.17	2	13095	6547.50
256.89	2	13101	6550.50
248.60	2	13151	6575.50
240.31	2	13183	6591.50
232.03	2	13213	6606.50
223.74	2	13232	6616.00
215.45	2	13250	6625.00
207.17	3	13528	4509.33
198.88	3	14212	4737.33
190.59	3	14887	4962.33
182.31	3	15489	5163.00
174.02	3	15505	5168.33
165.73	3	15587	5195.67
157.45	3	15629	5209.67
149.16	3	15707	5235.67
140.87	3	15802	5267.33
132.59	3	15827	5275.67
124.30	3	15876	5292.00
116.01	3	15939	5313.00
107.73	3	15966	5322.00
99.44	2	16985	8492.50
91.15	2	17019	8509.50
82.87	2	17042	8521.00
74.58	3	17280	5760.00
66.29	3	17326	5775.33
58.01	3	18090	6030.00
49.72	3	18173	6057.67
41.43	3	18259	6086.33
33.15	10	20304	2030.40
24.86	43	34046	791.77
16.57	95	62562	658.55
8.29	259	146848	566.98
0.00	3	1392084	464028.00
