4.05	503	295072	586.62
4.48	422	198782	471.05
4.78	428	244045	570.20
5.45	227	131223	578.07
5.67	446	234830	526.52
5.88	379	216275	570.65
6.54	243	123082	506.51
6.74	334	170316	509.93
7.51	381	170214	446.76
7.55	381	171283	449.56
7.59	274	152455	556.41
8.11	170	97763	575.08
8.18	195	106862	548.01
8.29	259	146848	566.98
8.31	246	134246	545.72
8.34	218	117218	537.70
8.39	187	112677	602.55
8.45	228	128583	563.96
8.48	157	86268	549.48
8.53	181	103259	570.49
8.96	95	53657	564.81
9.12	207	110461	533.63
9.42	140	80878	577.70
9.44	182	101263	556.39
9.55	148	83087	561.40
9.59	165	104137	631.13
9.75	117	66386	567.40
10.90	59	41657	706.05
11.35	149	77587	520.72
11.75	134	78998	589.54
12.16	59	43085	730.25
13.07	50	35047	700.94
13.44	10	20687	2068.70
13.47	127	73521	578.91
14.33	51	38813	761.04
15.02	103	58128	564.35
15.11	112	60757	542.47
15.18	102	65835	645.44
16.21	15	22565	1504.33
16.35	8	20132	2516.50
16.36	39	33943	870.33
16.57	95	62562	658.55
16.63	69	48188	698.38
16.67	50	38336	766.72
16.78	62	44717	721.24
16.90	81	55843	689.42
16.95	25	25908	1036.32
17.02	47	33131	704.91
17.07	42	33547	798.74
17.63	47	38547	820.15
17.92	4	18974	4743.50
18.23	61	44333	726.77
18.84	29	29847	1029.21
18.88	46	37936	824.70
19.11	7	19044	2720.57
19.18	67	45186	674.42
19.50	16	22672	1417.00
19.61	6	19519	3253.17
20.21	57	40610	712.46
20.26	3	18271	6090.33
21.80	3	18139	6046.33
22.41	3	18686	6228.67
22.52	39	27288	699.69
22.66	45	31657	703.49
22.69	9	19755	2195.00
22.77	45	35055	779.00
23.50	16	22477	1404.81
23.88	3	18256	6085.33
24.32	3	18183	6061.00
24.54	12	21587	1798.92
24.86	43	34046	791.77
24.94	20	26134	1306.70
25.01	10	20223	2022.30
25.18	26	24094	926.69
25.35	41	32834	800.83
25.43	4	18417	4604.25
25.61	5	18927	3785.40
26.15	4	18914	4728.50
26.89	3	18133	6044.33
26.94	26	23653	909.73
27.25	2	17959	8979.50
27.35	18	24511	1361.72
28.26	9	19979	2219.89
28.32	10	21250	2125.00
28.37	2	17945	8972.50
28.37	3	18281	6093.67
28.66	3	18149	6049.67
28.78	21	25479	1213.29
29.24	3	18231	6077.00
29.38	7	18906	2700.86
30.03	9	20014	2223.78
30.22	14	20127	1437.64
30.36	7	19316	2759.43
31.37	2	17949	8974.50
32.42	2	17928	8964.00
32.68	3	18125	6041.67
32.69	2	17944	8972.00
32.72	5	18541	3708.20
33.15	10	20304	2030.40
33.26	7	20181	2883.00
33.34	4	18439	4609.75
33.44	2	17929	8964.50
33.57	3	18119	6039.67
33.68	5	18636	3727.20
33.80	9	19722	2191.33
33.91	3	18084	6028.00
34.04	3	18232	6077.33
34.14	3	18198	6066.00
35.26	3	18201	6067.00
35.85	2	17946	8973.00
36.47	2	17916	8958.00
36.47	6	19092	3182.00
37.54	5	19111	3822.20
37.68	3	18126	6042.00
37.76	4	18276	4569.00
37.77	5	18538	3707.60
37.96	3	18232	6077.33
38.14	2	17927	8963.50
38.21	2	17907	8953.50
38.37	3	18109	6036.33
38.99	3	18093	6031.00
39.22	3	18102	6034.00
39.72	3	18096	6032.00
40.33	2	17928	8964.00
40.42	4	18367	4591.75
40.53	2	17896	8948.00
40.90	3	17998	5999.33
41.13	3	18136	6045.33
41.43	3	18259	6086.33
41.57	4	19049	4762.25
41.68	3	18066	6022.00
41.96	2	17895	8947.50
42.25	4	18410	4602.50
42.39	2	17877	8938.50
42.68	3	18040	6013.33
42.99	2	17880	8940.00
43.59	2	17906	8953.00
44.58	2	17885	8942.50
44.81	2	17918	8959.00
45.05	3	18127	6042.33
45.33	4	18215	4553.75
45.39	3	18031	6010.33
45.55	3	18156	6052.00
45.58	3	18108	6036.00
45.76	2	17903	8951.50
47.01	3	17454	5818.00
47.10	3	18070	6023.33
47.15	3	18098	6032.67
47.20	2	17819	8909.50
47.76	2	17863	8931.50
47.96	2	17828	8914.00
48.63	2	17867	8933.50
48.74	3	18014	6004.67
49.04	2	17885	8942.50
49.08	2	17804	8902.00
49.29	2	17897	8948.50
49.72	3	18173	6057.67
49.89	4	18300	4575.00
